Iteracion;mean_reward
0;551,776
1;9,705
2;411,695
3;511,684
4;466,503
5;458,229
6;483,641
7;584,838
8;629,537
9;679,686
10;670,823
11;598,167
12;779,140
13;729,311
14;765,578
15;685,022
16;712,600
17;746,062
18;806,273
19;955,033
20;943,085
21;805,910
22;897,632
23;819,943
24;931,528
25;908,451
26;1014,688
27;906,035
28;854,419
29;986,149
30;862,546
31;1203,014
32;1111,525
33;1078,520
34;1027,419
35;730,673
36;902,208
37;1059,493
38;1143,858
39;1143,898
40;1106,224
41;1236,914
42;1041,963
43;1303,806
44;1234,211
45;1075,049
46;1503,680
47;1292,544
48;1454,444
49;1595,095
50;1411,351
51;1362,720
52;1381,937
53;1544,215
54;1604,492
55;1612,199
56;1529,307
57;1756,094
58;1400,913
59;1586,354
60;1822,221
61;1794,687
62;1868,545
63;1742,397
64;1864,194
65;1691,713
66;1900,937
67;1995,110
68;1848,454
69;1798,781
70;1910,350
71;2002,583
